City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descriptions
326,Quiindy,PY,-25.9667,-57.2667,93.22,43,49,12.03,scattered clouds
327,Semikarakorsk,RU,47.5194,40.8112,38.62,55,0,7.07,clear sky
328,Turbat,PK,26.0023,63.044,79.63,42,0,8.34,clear sky
329,Avera,US,33.194,-82.5271,72.91,97,100,14.32,overcast clouds
330,Boguchany,RU,58.3814,97.4531,7.32,98,100,4.03,overcast clouds
331,Kerema,PG,-7.9631,145.7785,76.8,86,95,5.48,moderate rain
332,Cherskiy,RU,68.75,161.3,-1.26,100,86,1.66,overcast clouds
333,Husavik,IS,66.0449,-17.3389,33.19,82,38,6.73,scattered clouds
334,Espanola,US,35.9911,-106.0806,40.71,27,5,4.85,clear sky
335,Panguipulli,CL,-39.6333,-72.3333,52.61,69,77,4.94,broken clouds
336,Virden,US,39.5009,-89.7679,53.71,82,92,12.33,overcast clouds
337,Jasper,US,37.2001,-94.3502,39.99,82,100,16.11,overcast clouds
338,Lewisporte,CA,49.2499,-55.0482,35.31,94,100,11.12,light snow
339,Cabedelo,BR,-6.9811,-34.8339,88.47,67,56,12.97,broken clouds
340,Conde,BR,-7.2597,-34.9075,87.26,62,40,13.8,scattered clouds
341,Ananas,HT,19.2466,-71.9557,91.2,29,2,2.75,clear sky
342,Lyskovo,RU,56.0328,45.0422,29.5,97,92,6.49,overcast clouds
343,Jacqueville,CI,5.2052,-4.4146,81.36,83,83,9.44,broken clouds
344,Yumen,CN,40.2833,97.2,44.53,38,100,9.86,overcast clouds
345,Talara,PE,-4.5772,-81.2719,86.76,48,0,16.11,clear sky
346,Dubna,RU,56.7333,37.1667,29.71,97,39,4.45,scattered clouds
347,Stromness,GB,58.965,-3.296,53.56,82,38,6.55,scattered clouds
348,Buala,SB,-8.145,159.5921,78.89,82,68,3.38,broken clouds
