City_ID,City,Country,Max Temp,Current Descriptions,Lat,Lng,Hotel Name
191,Bend,US,63.0,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
192,Caluquembe,AO,60.75,light rain,-13.7833,14.6833,Hotel Kalukembe
193,Sinamar,PH,74.55,overcast clouds,16.9,121.5667,Princess Resort
194,Mozarlandia,BR,87.96,scattered clouds,-14.7447,-50.5706,Hotel Santa Mônica
195,Bose,IT,60.39,clear sky,45.4612,8.0137,Locanda Borgo Antico
196,Mabaruma,GY,83.91,broken clouds,8.2,-59.7833,Monty Brooms Guest House
197,Malanje,AO,65.01,overcast clouds,-9.5402,16.341,Hotel Ginga
198,Tiarei,PF,80.62,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
199,Ares,BR,89.69,broken clouds,-6.1944,-35.1603,Recanto dos Pássaros
200,Akyab,MM,78.03,broken clouds,20.15,92.9,Hotel Memory
201,Taltal,CL,68.9,clear sky,-25.4,-70.4833,Residencial Karime
202,Sorong,ID,77.9,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
203,Ahipara,NZ,65.53,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
204,Conakry,GN,87.87,haze,9.538,-13.6773,Riviera Royal Hotel
205,Carballo,ES,60.42,broken clouds,43.213,-8.691,Pazo do Souto
206,Menongue,AO,64.92,light rain,-14.6585,17.691,Ritz Lauca
207,Ipanguacu,BR,87.44,overcast clouds,-5.4983,-36.855,"Rua Manoel Lins Caldas, 47"
208,Sinnamary,GF,76.33,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
209,Pilar,BR,76.93,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
210,Gwadar,PK,76.5,clear sky,25.1216,62.3254,Sadaf Resort
211,Matamoros,MX,62.31,clear sky,25.5333,-103.25,Quinta Belem
212,Buchanan,LR,82.58,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
213,Alenquer,BR,87.13,scattered clouds,-1.9417,-54.7383,Detinha Hotel
214,Ixtapa,MX,88.16,scattered clouds,20.7,-105.2,hotel la terminal
215,Asosa,ET,76.96,broken clouds,10.0667,34.5333,Blendana Hotel Assosa
216,Maldonado,UY,78.19,broken clouds,-34.6667,-54.9167,La Cimarrona
217,Escarcega,MX,89.64,scattered clouds,18.6089,-90.7454,Hotel Maria Isabel
218,Pedernales,DO,86.85,few clouds,18.0384,-71.744,Hotel Costa Marina
219,Doha,QA,76.98,few clouds,25.2867,51.5333,Movenpick Hotel Doha
220,Algeciras,ES,60.48,haze,36.1333,-5.4505,AC Hotel by Marriott Algeciras
221,Coahuayana,MX,88.81,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
222,Ihosy,MG,68.05,broken clouds,-22.4,46.1167,Hotely Sariaka
223,Viedma,AR,70.97,overcast clouds,-40.8135,-62.9967,Hotel Cristal
224,Diamantino,BR,88.5,few clouds,-14.4086,-56.4461,Hotel Delta
225,Bonthe,SL,82.08,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
226,Gombong,ID,76.73,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
227,Chumphon,TH,70.93,scattered clouds,10.3333,98.8333,สกาน จ๋า.
228,Narrabri,AU,71.69,broken clouds,-30.3167,149.7833,Crossroads Hotel
229,Baracoa,CU,83.57,few clouds,20.3467,-74.4958,Hostal Rio Miel
230,Salalah,OM,75.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
231,Namatanai,PG,79.3,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
232,Yibin,CN,63.32,broken clouds,28.7667,104.6238,Handsome Guesthouse
233,Plouzane,FR,61.12,clear sky,48.3833,-4.6167,Lymina
234,Kalmunai,LK,78.35,clear sky,7.4167,81.8167,VS Villa
235,Alice,US,71.17,clear sky,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
236,Labuhan,ID,79.48,overcast clouds,-6.8844,112.2051,DoubleFAG
237,Kapoeta,SS,81.41,broken clouds,4.7717,33.5903,Eastgate Hotel
238,Kisangani,CD,75.99,scattered clouds,0.5167,25.2,Grand Ramela Hotel
239,Kendari,ID,75.0,overcast clouds,-3.945,122.4989,Hotel Wixel
240,Ilam,NP,64.87,few clouds,26.9167,87.9167,चियाबारी कटेज
241,Toamasina,MG,78.8,scattered clouds,-18.1667,49.3833,Hotel H1
242,Kieta,PG,77.59,light rain,-6.2167,155.6333,Uruna Bay Retreat
243,Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
244,Maragogi,BR,82.36,light rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
245,Lagoa,PT,60.08,overcast clouds,39.05,-27.9833,Casa Das Faias
246,Jackson,US,64.15,scattered clouds,42.4165,-122.8345,Agate Village Apartments
247,Carutapera,BR,82.67,broken clouds,-1.195,-46.02,Lidera
248,Praya,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
249,Bajil,YE,82.9,few clouds,15.0584,43.2851,فندق حضرموت
250,Baculin,PH,76.77,moderate rain,7.4525,126.5842,Baculin Cove Beach Resort
251,Yei,SS,72.81,broken clouds,4.095,30.6779,City Link Hotel
252,Stephenville,US,60.75,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
253,Acara,BR,81.41,heavy intensity rain,-1.9608,-48.1967,Hotel Vale do Acará
254,Ulcinj,ME,64.62,clear sky,41.9294,19.2244,Hotel Palata Venezia
255,Bandarbeyla,SO,77.79,clear sky,9.4942,50.8122,JABIR HOTEL
256,Copala,MX,86.29,clear sky,16.65,-98.9833,Hotel El Buzo
257,Manta,EC,80.38,overcast clouds,-0.95,-80.7333,Balandra Hotel
258,Huarmey,PE,75.99,scattered clouds,-10.0681,-78.1522,Hotel Miramar
259,Angoche,MZ,77.4,few clouds,-16.2325,39.9086,Guest House HESADA
260,Saint-Georges,GD,83.88,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
261,Banjar,ID,78.82,overcast clouds,-8.19,114.9675,The Hamsa Resort
262,Dunyapur,PK,75.13,clear sky,29.7995,71.7196,Ghulam Abbas House
263,Ashland,US,60.28,overcast clouds,40.8167,-82.2665,SureStay
264,Tabou,CI,82.31,overcast clouds,4.423,-7.3528,hotêl doufoulougou
265,Axim,GH,83.08,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
266,Bima,ID,75.58,overcast clouds,-8.4667,118.7167,Lambitu Hotel
267,Ugoofaaru,MV,82.9,few clouds,5.6667,73.0,Ungoofaaru Inn
268,Sabang,ID,82.24,overcast clouds,5.8933,95.3214,Hotel Citra
269,Palu,ID,75.2,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
270,Pacifica,US,69.44,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
271,Sawakin,SD,73.02,few clouds,19.1059,37.3321,فندق الدويم
272,Roatan,HN,85.28,clear sky,16.3244,-86.5366,Hotel Henry Morgan
273,Cassilandia,BR,88.03,scattered clouds,-19.1133,-51.7342,Delirius Motel
274,Unguia,CO,86.02,overcast clouds,8.0434,-77.0945,Residencias El Golfo
275,Nabire,ID,75.67,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
276,Veraval,IN,80.8,overcast clouds,20.9,70.3667,Lords Inn Somnath
277,Kigorobya,UG,70.93,light rain,1.6162,31.3089,Docs sports lounge
278,Meiganga,CM,80.82,overcast clouds,6.5167,14.3,DFR HOUSE
279,Hualmay,PE,75.11,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
280,Montepuez,MZ,70.41,scattered clouds,-13.1256,38.9997,PembaAparthotel
281,Campana,AR,78.91,overcast clouds,-34.1687,-58.9591,Hotel Morada Suites
282,Pouembout,NC,75.0,overcast clouds,-21.1333,164.9,Camping de Tipenga
